"[run number]","SCENARIO","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","[step]","MaxI%","nb-non-S%","epidemic-duration-final"
"383","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"384","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"385","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"377","Laisser-faire","1","1","0.1","116","0.1","0.1","29"
"386","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"387","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"388","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"375","Laisser-faire","1","1","0.1","142","0.1","0.15","36"
"389","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"373","Laisser-faire","1","1","0.1","152","0.1","0.15","38"
"390","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"382","Laisser-faire","1","1","0.1","128","0.1","0.15","32"
"392","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"394","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"396","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"397","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"399","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"395","Laisser-faire","1","1","0.1","84","0.1","0.1","21"
"400","Laisser-faire","1","1","0.1","72","0.05","0.05","18"
"401","Laisser-faire","1","1","0.3","72","0.05","0.05","18"
"393","Laisser-faire","1","1","0.1","112","0.1","0.1","28"
"398","Laisser-faire","1","1","0.1","92","0.1","0.1","23"
"404","Laisser-faire","1","1","0.3","72","0.05","0.05","18"
"405","Laisser-faire","1","1","0.3","72","0.05","0.05","18"
"402","Laisser-faire","1","1","0.3","89","0.1","0.1","22"
