"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V10VersionSite_180520.nlogo"
"Explo_V10_Scenario2"
"05/19/2020 10:06:53:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","SCENARIO","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%","population-tested%","total-nb-tests","total-nb-contagious","contagious-detected%","contagious-lockeddown%","proportion-non-contagious-lockeddown%","proportion-total-contagious-lockeddown-tracked","proportion-total-contagious-lockeddown-symptom"
"131","1","0.5","0.3","0","0.95","1","Confinement simple","215","0.15","0.25","54","0.35000000000000003","0.35000000000000003","0.05","1","5","20","100","54.54545454545454","0","100"
"143","1","0.5","0.3","0","0.95","1","Confinement simple","165","0.1","0.15","41","0.2","0.2","0.05","1","3","33.33333333333333","100","50","0","100"
"159","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"160","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"150","1","0.5","0.3","0","0.95","1","Confinement simple","121","0.1","0.1","30","0.15","0.15","0.05","1","2","50","100","50","0","100"
"149","1","0.5","0.3","0","0.95","1","Confinement simple","131","0.05","0.1","33","0.25","0.25","0.05","1","2","50","100","66.66666666666666","0","100"
"162","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"165","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"166","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"161","1","0.5","0.3","0","0.95","1","Confinement simple","94","0.15","0.15","24","0.05","0.05","0.05","1","3","33.33333333333333","33.33333333333333","0","0","100"
"167","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"168","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"170","1","0.5","0.3","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.3","0.3","0.05","1","1","100","100","83.33333333333334","0","100"
