"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V11VersionSite_250520.nlogo"
"Explo_V11_Scenario-1-2"
"05/26/2020 00:09:04:623 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","fixed-seed?","SCENARIO","Repartition-initiale-des-malades","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%"
"169","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","172","1.2","1.25","43","0","0"
"172","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","188","1","1.25","47","0","0"
"175","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","142","0.95","1","36","0","0"
"176","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","143","1.0999999999999999","1.2","36","0","0"
"179","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","128","1.25","1.3","32","0","0"
"173","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","212","1.3","1.55","53","0","0"
"178","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","152","1.3","1.4500000000000002","38","0","0"
"177","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","160","1.0999999999999999","1.2","40","0","0"
"183","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","125","1","1","31","0","0"
"182","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","138","1.15","1.3","35","0","0"
"180","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","152","1.05","1.25","38","0","0"
"181","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","186","1.0999999999999999","1.4500000000000002","47","0","0"
"187","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","112","1","1","28","0","0"
"184","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","192","1","1.15","48","0","0"
"188","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","140","1.15","1.2","35","0","0"
"185","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","188","1.05","1.7000000000000002","47","0","0"
"190","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","124","1.15","1.15","31","0","0"
"186","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","177","1","1.05","44","0","0"
"193","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","121","1.15","1.15","30","0","0"
"191","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","152","1.0999999999999999","1.2","38","0","0"
"195","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","132","1","1.05","33","0","0"
"167","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","397","1.3","2.7","99","0","0"
"194","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","193","1.05","1.35","48","0","0"
"204","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","93","1","1","23","0","0"
"197","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","148","0.8999999999999999","1.05","37","0","0"
"198","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","160","1.05","1.0999999999999999","40","0","0"
"189","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","254","1.0999999999999999","1.35","64","0","0"
"201","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","137","1.05","1.0999999999999999","34","0","0"
"202","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","148","1.15","1.25","37","0","0"
"196","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","225","1.0999999999999999","1.6500000000000001","56","0","0"
"199","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","169","1","1.2","42","0","0"
"118","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","804","11.450000000000001","62.3","201","0","0"
"206","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","132","1.05","1.0999999999999999","33","0","0"
"205","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","160","1.05","1.25","40","0","0"
"203","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","204","1.05","1.4500000000000002","51","0","0"
"207","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","144","1","1.05","36","0","0"
"200","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","221","0.95","1.4000000000000001","55","0","0"
"208","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","144","1","1.0999999999999999","36","0","0"
"211","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","134","1.05","1.15","34","0","0"
"212","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","120","1","1","30","0","0"
"192","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","374","1","3.35","94","0","0"
"215","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","162","0.95","1.05","41","0","0"
"218","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","148","1.3","1.4000000000000001","37","0","0"
"217","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","160","1","1.15","40","0","0"
"216","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","173","1.05","1.5","43","0","0"
"210","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","228","1.0999999999999999","1.3","57","0","0"
"220","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","131","1.05","1.0999999999999999","33","0","0"
"223","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","136","1.05","1.15","34","0","0"
"213","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","241","1.2","1.6500000000000001","60","0","0"
"219","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","192","1.2","1.4500000000000002","48","0","0"
"222","18","1","0.3","0","0.95","1","false","Laisser-faire","Concentrés","157","1.15","1.25","39","0","0"
